θ,SC,BCC,FCC
0.0,1.8340746629240399,1.8329608790580179,1.832743417679605
0.18018018018018017,2.250861115875072,2.249486030522513,2.2492177043130543
0.36036036036036034,2.37950535138131,2.378042868104416,2.377757655487061
0.5405405405405406,2.0623150309377105,2.06103974056252,2.0607911851421767
0.7207207207207207,2.117642036627135,2.1163244370726857,2.1160677963023353
0.9009009009009009,1.9698769156702276,1.9686436002963585,1.9684035313948403
1.0810810810810811,2.0197546921871607,2.01848216933284,2.018234633452692
1.2612612612612613,2.0839287557137225,2.0826074299671538,2.082350577177427
1.4414414414414414,2.0705404618065337,2.069219168030776,2.068962503200367
1.6216216216216217,1.9130730649247834,1.9118443111518395,1.9116057965751316
1.8018018018018018,2.3713916824466397,2.3698585358490045,2.369561159060907
1.981981981981982,1.7329010433978218,1.7317732458744592,1.7315546621622375
2.1621621621621623,2.0185489587903263,2.0172264334346073,2.016970313362258
2.3423423423423424,1.8764426000517427,1.8752048350641166,1.8749653270090814
2.5225225225225225,2.030011257753944,2.0286630063459516,2.028402340457379
2.7027027027027026,2.010785626957988,2.009440883074479,2.0091811226188363
2.8828828828828827,2.1973738979979824,2.195894069114749,2.1956084721919504
3.0630630630630633,2.301935259874513,2.3003740284802716,2.300073001134068
3.2432432432432434,2.2958606632724012,2.2942923970811653,2.2939903025661432
3.4234234234234235,2.2889049068650316,2.287330068077366,2.2870270064697826
3.6036036036036037,2.3886547073625635,2.3869992026278286,2.3866809412003827
3.783783783783784,2.206132081018186,2.2045917556683636,2.2042959466478775
3.963963963963964,2.155380839233366,2.1538646804396477,2.15357382631824
4.1441441441441444,2.2274195523380973,2.2258408550174136,2.2255383401082356
4.324324324324325,2.3115025072468165,2.3098516691020357,2.3095356923348365
4.504504504504505,2.252151568741002,2.250530659093334,2.2502207765374
4.684684684684685,2.2756230198818326,2.2739723848619926,2.273657202792017
4.864864864864865,1.8146479440173466,1.813321246684558,1.8130682362608699
